,0
0,9.946813685394831
1,10.065770974238323
2,9.819442450394543
3,9.21876234554554
4,10.459804179009165
5,9.999139165546577
6,9.586720918299283
7,8.837854320196833
8,7.758936467387216
9,6.430515215320079
10,4.810548697890432
11,3.000847733593244
12,0.9100204483682951
13,9.999999961966442e-05
14,9.99999996099754e-05
15,9.99999996071999e-05
16,9.999999961368892e-05
17,9.999999961863544e-05
18,9.999999962040788e-05
19,9.999999961364254e-05
20,9.937967730383896
21,10.082398918371378
22,9.896344070806304
23,9.391127588780392
24,10.76255144872607
25,10.467975050630939
26,10.257788098223404
27,9.747634279643336
28,8.944250709167049
29,7.928410543881545
30,6.658414890111108
31,5.236280975829088
32,3.5708250447570515
33,2.272052045121506
34,0.9580845815477291
35,0.00010000000001388091
36,9.999999961761059e-05
37,9.999999961108693e-05
38,9.999999962064661e-05
39,9.999999962147925e-05
40,9.74577648508426
41,9.727140070995805
42,9.40790951545048
43,8.800053914662968
44,10.099020032588252
45,9.763291138739701
46,9.543632268165721
47,9.056110720785494
48,8.30773317609391
49,7.379565437015404
50,6.230028962482888
51,4.9612731402902215
52,3.4821719717358244
53,2.4008177723586277
54,1.3342425010171366
55,0.001335599763975363
56,9.999999960529813e-05
57,9.999999960275002e-05
58,9.999999960205696e-05
59,9.999999961098822e-05
60,8.732960834363272
61,7.743560441589457
62,6.499260427326923
63,5.015468877893781
64,5.488996887573995
65,4.382272204212765
66,3.4487310830137727
67,2.3067497437617033
68,0.9654239491604507
69,9.999999961637286e-05
70,9.999999961565754e-05
71,9.999999961855586e-05
72,0.00010000000001440808
73,0.0001000000000122276
74,9.999999961398524e-05
75,9.999999961736463e-05
76,9.999999961863807e-05
77,9.999999961343745e-05
78,9.999999961074904e-05
79,9.999999961541237e-05
80,8.017450707259782
81,6.43583561230148
82,4.729970242508455
83,2.921575704730897
84,3.2091928052583376
85,2.061525898354159
86,1.2349964764876222
87,0.3498453815164418
88,9.999999961867695e-05
89,9.999999961208339e-05
90,9.99999996191055e-05
91,9.999999961309915e-05
92,9.999999961651267e-05
93,9.999999961805183e-05
94,0.00010000000000412641
95,0.00010000000000641283
96,9.999999961534256e-05
97,9.99999996137575e-05
98,0.00010000000000654856
99,0.00010000000000156798
100,4.934970402128423
101,2.637729115627596
102,0.46887332874572185
103,9.999999961808026e-05
104,0.00010000000000422391
105,9.999999961899784e-05
106,0.00010000000000416905
107,9.999999961608505e-05
108,9.999999961856253e-05
109,9.99999996124039e-05
110,9.999999961820507e-05
111,0.35235398254791733
112,1.6119877059958696
113,2.159539103154351
114,2.0449128896185456
115,2.2271687673263396
116,1.728147263754704
117,1.323273207734029
118,1.0377777965253385
119,0.9997763428347716
120,1.624900347765683
121,0.00010000000000374216
122,9.999999961832953e-05
123,0.00010000000000358473
124,9.999999961710902e-05
125,9.999999961492106e-05
126,9.999999961735513e-05
127,9.999999961881276e-05
128,9.999999961321732e-05
129,9.99999996180188e-05
130,9.999999960305695e-05
131,9.99999996177958e-05
132,9.999999961762995e-05
133,0.00010000000000304934
134,9.999999961384876e-05
135,9.99999996182078e-05
136,9.999999961579478e-05
137,9.999999961809943e-05
138,9.999999961463457e-05
139,9.999999961724127e-05
140,9.27415989111235
141,8.87542439915095
142,8.270462371884374
143,7.473772807856486
144,4.236930183210849
145,3.8582837695175556
146,3.7010270102118876
147,3.3817793861319347
148,2.907736594144193
149,2.359727206433321
150,1.6953814040928534
151,1.015646583306967
152,0.22778746099599953
153,0.00040908225332220535
154,9.999999961887758e-05
155,9.999999961633684e-05
156,9.999999961716754e-05
157,9.999999961839727e-05
158,9.999999961704561e-05
159,9.999999961548848e-05
160,8.57598393579278
161,7.63711261551431
162,6.657060632680018
163,5.655736462341748
164,2.3950762287806255
165,2.171588140769955
166,2.3488142154095932
167,2.54214395718017
168,2.7558010441759473
169,3.0661786873351846
170,3.4249296450355646
171,3.9256204584228342
172,4.466888661147433
173,5.630354167057635
174,7.011728707206039
175,7.978028881864112
176,7.810756963713978
177,7.416842722865967
178,6.891945724739278
179,6.285582415289227
180,7.8785297540193096
181,6.404020908116939
182,5.060012534469532
183,3.873457006609057
184,0.6170368305956041
185,0.5846214149381386
186,1.1380312222640931
187,1.8881794045486489
188,2.8321937175116525
189,4.036727748806602
190,5.441583237157047
191,7.126348050593639
192,8.974005566046996
193,8.646942690658166
194,7.844739916362979
195,7.266294612856632
196,6.389093776310267
197,5.801677459510926
198,5.368619020276826
199,4.898093989518598
